0.405	-0.116	-0.1917
0.415	-0.1758	-0.2427
0.425	-0.09258	-0.1406
0.435	0.03153	0.3145
0.445	-0.1447	-0.1646
0.455	-0.1116	-0.1677
0.465	-0.243	-0.2162
0.475	-0.2719	-0.1431
0.485	-0.6655	-0.8394
0.495	-0.2111	-0.1623
0.505	-0.312	-0.2614
0.515	-0.2244	-0.1582
0.525	0.03133	0.3361
0.535	-0.1732	-0.2682
0.545	-0.774	-0.6277
0.555	-0.3291	-0.16
0.565	-0.5482	-0.4244
0.575	-0.269	-0.3265
0.585	-0.7007	-0.4246
0.595	-0.2476	-0.217
0.605	-0.9208	-0.7006
0.615	-0.7733	-0.5023
0.625	-0.4807	-0.4538
0.635	-0.1336	-0.3165
0.645	-0.6988	-1.022
0.655	-0.3539	-0.7168
0.665	-0.6466	-0.9843
0.675	-0.6798	-0.9548
0.685	-0.6752	-1.503
0.695	-0.3776	-1.225
0.705	-0.2024	-1.994
0.715	0.7247	0.4808
0.725	0.9919	0.5897
0.735	0.7081	1.212
0.745	2.345	0.4867
0.755	2.538	0.903
0.765	1.565	1.175
0.775	2.801	1.022
0.785	2.11	0.5453
0.795	2.86	0.6633
0.805	2.941	1.036
0.815	3.701	0.7709
0.825	3.108	0.674
0.835	3.011	0.5879
0.845	2.75	0.7705
0.855	2.915	0.8931
0.865	2.25	0.3608
0.875	1.622	0.3059
0.885	2.22	0.5296
0.895	2.305	0.5972
0.905	1.888	0.5077
0.915	1.432	0.3977
0.925	1.591	0.4102
0.935	1.205	0.3667
0.945	1.128	0.3272
0.955	1.215	0.214
0.965	0.9927	0.2907
0.975	0.7065	0.3763
0.985	0.781	0.2127
0.995	0.934	0.2307
1.005	0.7424	0.1522
1.015	0.6776	0.2906
1.025	0.702	0.1778
1.035	0.7403	0.1489
1.045	0.6087	0.2799
1.055	0.5464	0.2622
1.065	0.4334	0.203
1.075	0.3852	0.1899
1.085	0.4531	0.2117
1.095	0.6448	0.1312
1.105	0.545	0.1087
1.115	0.4607	0.1696
1.125	0.3919	0.1373
1.135	0.4989	0.1479
1.145	0.3122	0.1183
1.155	0.5859	0.1453
1.165	0.4518	0.1082
1.175	0.5502	0.1538
1.185	0.3503	0.1132
1.195	0.3745	0.1836
1.205	0.5234	0.1233
1.215	0.3801	0.1216
1.225	0.3739	0.1081
1.235	0.3543	0.1304
1.245	0.3006	0.105
1.255	0.5062	0.2377
1.265	0.5007	0.111
1.275	0.4639	0.1158
1.285	0.5073	0.1197
1.295	0.4317	0.1033
1.305	0.4302	0.1246
1.315	0.4433	0.09872
1.325	0.395	0.0978
1.335	0.4209	0.109
1.345	0.4488	0.1489
1.355	0.46	0.1062
1.365	0.4305	0.1067
1.375	0.3707	0.1006
1.385	0.3689	0.09125
1.395	0.3689	0.1228
